"FacilityId","ProduceDate","ShiftDefinitionShift","SortMold","SortOrderList","ZZSTYLCODE","ZZGENDER","ZZPARTNO","ZZATCOLR","ZZCOLORCODE","ProductSize","MoldNo","MoldInventory","SumBodySizeNeed","SumRequiredUpperMoldQuantity","SteerRequiredUpperMoldQuantity","ActualRequiredUpperMoldQuantity"
2210030000000000001,"20250602","6330_VNbc_3rdShift",171,"185,303",N,M,H0001,CRYSTAL WHITE S16/90%CRYSTAL WHITE S16,A8L5/90%A8L5,UK_6-,"64986",3.00000000,66.00000000,3.00000000,3.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",172,"187",N,M,H0001,LUCID LEMON F23/50%LUCID LEMON F23,AEWQ/50%AEWQ,UK_10,"64986",4.00000000,42.00000000,2.00000000,2.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",173,"188,374",N,W,H0001,CORE BLACK/75%CORE BLACK,A0QM/75%A0QM,UK_6-,"64986",3.00000000,231.00000000,8.00000000,6.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",174,"189,233,428",N,M,H0001,FTWR WHITE,"01F7",UK_11,"64699",1.00000000,18.00000000,3.00000000,3.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",175,"190,305",N,M,H0001,HALO SILVER S21/75%HALO SILVER S21,ADW8/75%ADW8,UK_8,"64986",5.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",176,"191",N,W,H0001,TECH INDIGO S20,ADAM,UK_7-,"66680",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",177,"192",N,M,H0001,"50%SILVER PEBBLE S23/CORE BLACK","50%AESW/A0QM",UK_5-,"59056",1.00000000,8.00000000,2.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",178,"193",N,M,H0001,LUCID RED S25/50%LUCID RED S25,AFDD/50%AFDD,UK_6-,"64986",3.00000000,7.00000000,1.00000000,1.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",179,"194",N,M,H0001,FTWR WHITE/75%FTWR WHITE,"01F7/75%01F7",UK_11-,"64986",2.00000000,81.00000000,3.00000000,2.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",180,"195",RIGHT FOO,W,H0001,CORE BLACK,A0QM,UK_8-,"05344",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",181,"196",N,W,H0001,GREY FIVE F17/50%GREY FIVE F17,AA2V/50%AA2V,UK_6,"64986",3.00000000,4.00000000,1.00000000,1.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",182,"198",N,K,H0001,CORE BLACK/FTWR WHITE/GREY THREE F17/SCARLET/NATURAL,A0QM/01F7/AA2T/A091/NA02,UK_1-,"37610",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",183,"199",N,M,H0001,LUCID RED S25/50%LUCID RED S25,AFDD/50%AFDD,UK_5-,"64986",3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",184,"200,387",N,W,H0001,FTWR WHITE,"01F7",UK_7,"64699",1.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",185,"201",N,W,H0001,GUM4,"26F0",UK_11-,"05344",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",186,"202,263,376",N,K,H0001,CORE BLACK/FTWR WHITE/GREY THREE F17/SCARLET/NATURAL,A0QM/01F7/AA2T/A091/NA02,UK_6-,"37610",3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",187,"203",N,K,H0001,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,UK_12-K,"06819",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",188,"204",N,M,H0001,CORE BLACK,A0QM,UK_9-,"64699",2.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",189,"206",N,W,H0001,"80%GUM 2","80%18F0",UK_9-,"05344",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",190,"207",N,M,H0001,CORE BLACK,A0QM,UK_10,"55847",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",191,"208",N,K,H0001,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,UK_13K,"06819",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",192,"210",N,M,H0001,CORE BLACK,A0QM,UK_7-,"55847",2.00000000,705.00000000,18.00000000,2.00000000,2.00000000
